job_id,stage,batch_size,block_ms_per_batch_step,calibration_multiplication_included,family,fitted_global_multiplier_count,grid,kind,max_ms_per_batch_step,median_ms_per_batch_step,min_ms_per_batch_step,parameter_count,parameter_count_convention,prior,timing_source,weights
resolution_g32__advection_diffusion__correct,resolution_g32,1,"[0.62470335, 0.62631475, 0.62404285, 0.6359317, 0.6231445]",False,advection_diffusion,0,32,fno,0.6359317,0.62470335,0.6231445,209985,real scalar equivalents; complex neural weights count twice,correct,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
resolution_g32__allen_cahn__coefficient,resolution_g32,1,"[0.42571495, 0.43587175, 0.4317901, 0.43786575, 0.4222067]",False,allen_cahn,0,32,physics_uncalibrated,0.43786575,0.4317901,0.4222067,,,coefficient,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
resolution_g32__allen_cahn__coefficient,resolution_g32,1,"[0.4397681, 0.42703545, 0.43753025, 0.42378855, 0.4562606]",True,allen_cahn,3,32,physics_calibrated,0.4562606,0.43753025,0.42378855,,,coefficient,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
resolution_g32__allen_cahn__coefficient,resolution_g32,1,"[1.065835, 1.0809908, 1.06428665, 1.06180645, 1.08203485]",False,allen_cahn,0,32,transformer,1.08203485,1.065835,1.06180645,100993,real scalar equivalents; complex neural weights count twice,coefficient,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
resolution_g32__allen_cahn__coefficient,resolution_g32,1,"[1.06446995, 1.0649607, 1.0706878, 1.06978495, 1.08068785]",False,allen_cahn,0,32,looped,1.08068785,1.06978495,1.06446995,34049,real scalar equivalents; complex neural weights count twice,coefficient,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
resolution_g32__allen_cahn__coefficient,resolution_g32,1,"[0.62610995, 0.6348982, 0.62352455, 0.6264635, 0.62935685]",False,allen_cahn,0,32,fno,0.6348982,0.6264635,0.62352455,209985,real scalar equivalents; complex neural weights count twice,coefficient,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
resolution_g32__allen_cahn__correct,resolution_g32,1,"[0.42230585, 0.4422103, 0.43228535, 0.45833405, 0.42290225]",False,allen_cahn,0,32,physics_uncalibrated,0.45833405,0.43228535,0.42230585,,,correct,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
resolution_g32__allen_cahn__correct,resolution_g32,1,"[0.4462874, 0.4262783, 0.44072005, 0.42114005, 0.4521337]",True,allen_cahn,3,32,physics_calibrated,0.4521337,0.44072005,0.42114005,,,correct,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
resolution_g32__allen_cahn__correct,resolution_g32,1,"[1.1365564, 1.0963674, 1.06867525, 1.06348795, 1.08446855]",False,allen_cahn,0,32,transformer,1.1365564,1.08446855,1.06348795,100993,real scalar equivalents; complex neural weights count twice,correct,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
resolution_g32__allen_cahn__correct,resolution_g32,1,"[1.0936694, 1.1111176, 1.0796217, 1.08399385, 1.09922875]",False,allen_cahn,0,32,looped,1.1111176,1.0936694,1.0796217,34049,real scalar equivalents; complex neural weights count twice,correct,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
resolution_g32__allen_cahn__correct,resolution_g32,1,"[0.6460194, 0.6332597, 0.64418365, 0.6281706, 0.64844155]",False,allen_cahn,0,32,fno,0.64844155,0.64418365,0.6281706,209985,real scalar equivalents; complex neural weights count twice,correct,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
