stage,grid,family,prior,kind,arm,split,horizon,n_seeds,n_trajectories,mean_nmse,ci95_low,ci95_high,normalized_rmse,mean_training_validation_seconds,fixed_choice_setup_train_bank_seconds,median_inference_ms_per_step
development,32,allen_cahn,coefficient,looped,response_matched,test,96,6,64,0.004821550200329156,0.002908384325827166,0.008302629848711189,0.06943738330560244,69.89342529846665,72.82716873831426,1.5385342063382268
development,32,allen_cahn,coefficient,looped,response_matched,ood,64,6,64,0.4253715553361654,0.28106199532138076,0.6080218046150441,0.6522051481981459,69.89342529846665,72.82716873831426,1.5385342063382268
development,32,allen_cahn,coefficient,looped,response_matched,ood,96,6,64,0.7773625007453276,0.5205963332240109,1.088426768657331,0.8816816323057477,69.89342529846665,72.82716873831426,1.5385342063382268
development,32,allen_cahn,coefficient,looped,smooth,test,64,6,64,0.0025013901248312487,0.0013509917865004192,0.004155213329809427,0.05001389931640252,69.91731476108544,72.85081668927644,1.5755006927065551
development,32,allen_cahn,coefficient,looped,smooth,test,96,6,64,0.003629299783797236,0.002224345546379119,0.005569352262013196,0.060243670072441934,69.91731476108544,72.85081668927644,1.5755006927065551
development,32,allen_cahn,coefficient,looped,smooth,ood,64,6,64,0.209600206079496,0.12055231896886817,0.31280643989553497,0.45782115075594315,69.91731476108544,72.85081668927644,1.5755006927065551
development,32,allen_cahn,coefficient,looped,smooth,ood,96,6,64,0.452404385202136,0.22186298098882146,0.7100007358411623,0.6726101286794126,69.91731476108544,72.85081668927644,1.5755006927065551
development,32,allen_cahn,coefficient,transformer,iid,test,64,6,64,0.001837912621547209,0.0012503643671352975,0.0025874478616319647,0.04287088314400823,73.28118235509221,76.21823070912312,1.5384624479338527
development,32,allen_cahn,coefficient,transformer,iid,test,96,6,64,0.003013522970097635,0.002165984918678775,0.004039566240531609,0.0548955642114883,73.28118235509221,76.21823070912312,1.5384624479338527
development,32,allen_cahn,coefficient,transformer,iid,ood,64,6,64,0.4272020063561328,0.2834140815543433,0.586404285419351,0.6536069203704417,73.28118235509221,76.21823070912312,1.5384624479338527
development,32,allen_cahn,coefficient,transformer,iid,ood,96,6,64,0.6521541586075048,0.45809442001016726,0.8549883096854238,0.8075606222491937,73.28118235509221,76.21823070912312,1.5384624479338527
development,32,allen_cahn,coefficient,transformer,none,test,64,6,64,0.00212180364903522,0.0014166313040467594,0.003193220964683245,0.046063039945657296,42.638597640752174,42.6810622313836,1.532376476097852
development,32,allen_cahn,coefficient,transformer,none,test,96,6,64,0.0026521580892819928,0.0019535647396118887,0.0036259962265568664,0.051499107655201104,42.638597640752174,42.6810622313836,1.532376476097852
development,32,allen_cahn,coefficient,transformer,none,ood,64,6,64,0.10276754481067307,0.061707740712396125,0.1578950613935908,0.3205737743650798,42.638597640752174,42.6810622313836,1.532376476097852
development,32,allen_cahn,coefficient,transformer,none,ood,96,6,64,0.18693566216789473,0.10609177879747386,0.30349943825472886,0.4323605696266656,42.638597640752174,42.6810622313836,1.532376476097852
development,32,allen_cahn,coefficient,transformer,response_matched,test,64,6,64,0.00195036064808841,0.0012082857381442956,0.0030699412303600146,0.04416288767832568,72.60890028827514,75.54609718879995,1.5312616946175694
development,32,allen_cahn,coefficient,transformer,response_matched,test,96,6,64,0.003090295193990357,0.0020700356745469452,0.004604267400036176,0.05559042358167778,72.60890028827514,75.54609718879995,1.5312616946175694
development,32,allen_cahn,coefficient,transformer,response_matched,ood,64,6,64,0.4931868326185042,0.34950466575479533,0.6456870283400533,0.7022726198695947,72.60890028827514,75.54609718879995,1.5312616946175694
development,32,allen_cahn,coefficient,transformer,response_matched,ood,96,6,64,0.7225108060839847,0.5413668383924098,0.9072535454928132,0.8500063564962232,72.60890028827514,75.54609718879995,1.5312616946175694
development,32,allen_cahn,coefficient,transformer,smooth,test,64,6,64,0.001305426375804548,0.000877077764622038,0.0019356614550319878,0.036130684684967544,73.01240397834529,75.94950823214215,1.5370319713838398
development,32,allen_cahn,coefficient,transformer,smooth,test,96,6,64,0.001967457248114186,0.0013956560127697257,0.002749469555595633,0.04435602831762765,73.01240397834529,75.94950823214215,1.5370319713838398
development,32,allen_cahn,coefficient,transformer,smooth,ood,64,6,64,0.3335937645177231,0.2425675317362461,0.4284210879713616,0.5775757651752046,73.01240397834529,75.94950823214215,1.5370319713838398
development,32,allen_cahn,coefficient,transformer,smooth,ood,96,6,64,0.5739943769121795,0.4196362197399536,0.7335238611807036,0.7576241660032892,73.01240397834529,75.94950823214215,1.5370319713838398
development,32,allen_cahn,correct,fno,iid,test,64,6,64,0.0007669464939288306,0.00012599236892343204,0.003113410466537416,0.027693798835277738,42.024380051065236,44.94385312350156,1.2436234625056386
development,32,allen_cahn,correct,fno,iid,test,96,6,64,0.0012770085199977587,0.00020319903026090946,0.0056174652292852395,0.03573525598058252,42.024380051065236,44.94385312350156,1.2436234625056386
development,32,allen_cahn,correct,fno,iid,ood,64,6,64,0.0036953859311257644,0.001991556246148656,0.005342977218227782,0.06078968605878603,42.024380051065236,44.94385312350156,1.2436234625056386
development,32,allen_cahn,correct,fno,iid,ood,96,6,64,0.007559929699206873,0.0037644357878146174,0.011204722537655512,0.08694785620822904,42.024380051065236,44.94385312350156,1.2436234625056386
