stage,grid,family,prior,kind,arm,split,horizon,n_seeds,n_trajectories,mean_nmse,ci95_low,ci95_high,normalized_rmse,mean_training_validation_seconds,fixed_choice_setup_train_bank_seconds,median_inference_ms_per_step
resolution_g64,64,wave,correct,transformer,none,test,64,4,64,0.0024834000814140805,0.002001404816036606,0.003029971666534645,0.04983372433818368,43.05053738504648,43.09468336380087,1.5943236532621086
resolution_g64,64,wave,correct,transformer,smooth,test,64,4,64,0.002012938778039132,0.001621419505833805,0.002465115445034305,0.04486578627461166,73.812921706005,77.23039357666858,1.573927653953433
selector_g64,64,cahn_hilliard,coefficient,fno,none,test,64,6,64,4.568056205063195e-05,3.4622635779936254e-05,5.825248701698724e-05,0.00675873967915853,25.328269887017086,25.362915674534936,1.2786685372702777
selector_g64,64,cahn_hilliard,coefficient,fno,smooth,test,64,6,64,0.00040331678201644994,0.0003045347962328892,0.000521851376384503,0.020082748368100665,42.59244354829813,46.09515468783987,1.2773720198310912
selector_g64,64,cahn_hilliard,coefficient,looped,none,test,64,6,64,0.005936550572527774,0.00449340324875844,0.007670997293535057,0.07704901409186087,39.54708478584265,39.58612943564852,1.6111545264720917
selector_g64,64,cahn_hilliard,coefficient,looped,smooth,test,64,6,64,0.008373599254950933,0.006750094204890809,0.010125874310356926,0.09150737268084431,70.18402572131406,73.69112472600925,1.6062079928815365
selector_g64,64,cahn_hilliard,coefficient,transformer,none,test,64,6,64,0.004084385074384678,0.002898892940870989,0.005572007008256037,0.0639091939738304,43.43261189417293,43.47625935962424,1.6052293009124696
selector_g64,64,cahn_hilliard,coefficient,transformer,smooth,test,64,6,64,0.00469901395920476,0.0039775451140261105,0.0055062704304140375,0.0685493541851764,73.87966489396058,77.39225912637387,1.5851215575821698
selector_g64,64,cahn_hilliard,correct,fno,none,test,64,6,64,4.6968038146630204e-05,3.608656721038566e-05,5.944722632240641e-05,0.00685332314622842,25.241873094346374,25.277012904407457,1.2634262791834772
selector_g64,64,cahn_hilliard,correct,fno,smooth,test,64,6,64,2.9142350279843772e-05,2.2285180349836696e-05,3.7957018428597694e-05,0.005398365519288572,42.619354295311496,46.14386448233078,1.2648837524466217
selector_g64,64,cahn_hilliard,correct,looped,none,test,64,6,64,0.00593654837935688,0.004493410004563623,0.007670984814958762,0.07704899985954963,39.77850366414835,39.81810554854261,1.5929110231809318
selector_g64,64,cahn_hilliard,correct,looped,smooth,test,64,6,64,0.004077548477607955,0.0028915417978298,0.005513360663605491,0.0638556847712712,70.18158377800137,73.71036769667019,1.592525525484234
selector_g64,64,cahn_hilliard,correct,transformer,none,test,64,6,64,0.004084380733209904,0.002898892646933119,0.0055720035555377875,0.06390916001020436,43.46604075391466,43.50960965726214,1.5928382868878543
selector_g64,64,cahn_hilliard,correct,transformer,smooth,test,64,6,64,0.0026882936452468503,0.0021599521550688407,0.0033418723093050187,0.05184875741275629,73.60530172979149,77.13981768170682,1.6112323035486042
selector_g64,64,cahn_hilliard,structural,fno,none,test,64,6,64,4.6968038146630204e-05,3.608656721038566e-05,5.944722632240641e-05,0.00685332314622842,25.34065922962812,25.37575652434801,1.2710515060462058
selector_g64,64,cahn_hilliard,structural,fno,smooth,test,64,6,64,0.00042119297811346444,0.00033836704919472876,0.0005202812656028018,0.020522986578796577,42.393347803270444,45.67640800649921,1.2788895634002984
selector_g64,64,cahn_hilliard,structural,looped,none,test,64,6,64,0.00593654837935688,0.004493410004563623,0.007670984814958762,0.07704899985954963,39.4426044827948,39.48218010932518,1.61853504832834
selector_g64,64,cahn_hilliard,structural,looped,smooth,test,64,6,64,0.010126985466734371,0.00771094627733523,0.012824269585625882,0.10063292436739762,69.99693630620216,73.28435067692772,1.5953695285134017
selector_g64,64,cahn_hilliard,structural,transformer,none,test,64,6,64,0.004084380733209904,0.002898892646933119,0.0055720035555377875,0.06390916001020436,43.2062674141489,43.25009736985279,1.577428518794477
selector_g64,64,cahn_hilliard,structural,transformer,smooth,test,64,6,64,0.00639871739561148,0.005200994529291777,0.0077529020957941355,0.0799919833209021,73.9944428241967,77.28750739588092,1.5720940427854657
selector_g64,64,fitzhugh_nagumo,coefficient,fno,none,test,64,6,64,0.0005070637675003963,0.0003293665134044857,0.000731305875412497,0.022518076460932367,25.23434611572884,25.268852677351486,1.259052287787199
selector_g64,64,fitzhugh_nagumo,coefficient,fno,smooth,test,64,6,64,0.0006298184853579074,0.0005049627262671423,0.0007696920866320373,0.025096184677315142,42.8840195533509,46.85593254383033,1.2568602804094553
selector_g64,64,fitzhugh_nagumo,coefficient,looped,none,test,64,6,64,0.018997358879911535,0.012107171006532,0.027547153392252145,0.13783090683845745,39.6397314327769,39.68055658042431,1.5847862814553082
selector_g64,64,fitzhugh_nagumo,coefficient,looped,smooth,test,64,6,64,0.01720177768561835,0.01115633925013385,0.025129468243950605,0.13115554767381496,69.84856260940433,73.82608989470948,1.5677595627494156
selector_g64,64,fitzhugh_nagumo,coefficient,transformer,none,test,64,6,64,0.012317135828642495,0.009091757563925763,0.016036985550932605,0.1109825924577476,43.58603665768169,43.630228870703526,1.5790442819707096
selector_g64,64,fitzhugh_nagumo,coefficient,transformer,smooth,test,64,6,64,0.010926536896467285,0.008552088738305035,0.013655144039441864,0.10453007651612661,73.43879180060078,77.42100085620768,1.575748750474304
selector_g64,64,fitzhugh_nagumo,correct,fno,none,test,64,6,64,0.0005038357312551391,0.0003319352646868179,0.0007159925881443376,0.022446285466756834,25.279658279769745,25.314103176584467,1.269056007731706
selector_g64,64,fitzhugh_nagumo,correct,fno,smooth,test,64,6,64,0.0004509334446988593,0.0003294380576092292,0.0005901175117991492,0.021235193540414445,42.60506485030055,46.613091118788965,1.2819992611184716
selector_g64,64,fitzhugh_nagumo,correct,looped,none,test,64,6,64,0.018997376289588586,0.012107180285292576,0.0275472252781808,0.13783096999436878,39.4606023527837,39.500714774243534,1.5965330530889332
selector_g64,64,fitzhugh_nagumo,correct,looped,smooth,test,64,6,64,0.01566752261026033,0.010424413260211133,0.022543748064733686,0.1251699748752085,70.24246808087143,74.25607996340841,1.5932765323668718
selector_g64,64,fitzhugh_nagumo,correct,transformer,none,test,64,6,64,0.012317133254565562,0.009091753578047283,0.016036962252342458,0.1109825808609872,43.22752581032304,43.27184052222098,1.5833342680707574
selector_g64,64,fitzhugh_nagumo,correct,transformer,smooth,test,64,6,64,0.01048360825575966,0.008234902171647372,0.013071543978019282,0.10238949289726783,74.35748167716277,78.37612888721439,1.5920350328087807
selector_g64,64,fitzhugh_nagumo,structural,fno,none,test,64,6,64,0.0005038357312551391,0.0003319352646868179,0.0007159925881443376,0.022446285466756834,25.025310362689197,25.06008428676675,1.2566522578708827
selector_g64,64,fitzhugh_nagumo,structural,fno,smooth,test,64,6,64,0.01407154042305031,0.00945726913524583,0.018936599109607172,0.118623523902514,42.65954149413543,46.69918141219144,1.2568870442919433
selector_g64,64,fitzhugh_nagumo,structural,looped,none,test,64,6,64,0.018997376289588586,0.012107180285292576,0.0275472252781808,0.13783096999436878,39.48239777221655,39.52293698869956,1.5727525460533798
selector_g64,64,fitzhugh_nagumo,structural,looped,smooth,test,64,6,64,0.08925256516034345,0.06467459290176275,0.11602400414562021,0.2987516780879121,70.28414338439082,74.32967905203502,1.576780527830124
selector_g64,64,fitzhugh_nagumo,structural,transformer,none,test,64,6,64,0.012317133254565562,0.009091753578047283,0.016036962252342458,0.1109825808609872,43.38119576537671,43.42488803124676,1.5783602953888476
selector_g64,64,fitzhugh_nagumo,structural,transformer,smooth,test,64,6,64,0.08927993866326238,0.05664053313726794,0.1358574112522558,0.29879748771243436,73.6674218963987,77.71760401246138,1.5838900348171592
development,32,burgers,coefficient,mechanistic,,test,64,0,64,0.017123447088257304,0.012731554863964023,0.02228862003584089,0.13085658977773074,0.0,,
development,32,burgers,correct,mechanistic,,test,64,0,64,2.4338614891118654e-11,5.58908379958259e-12,4.914583203068129e-11,4.933418175172124e-06,0.0,,
development,32,gray_scott,coefficient,mechanistic,,test,64,0,64,0.7340474576230349,0.6950040177449172,0.7740461396421147,0.8567656958720015,0.0,,
development,32,gray_scott,correct,mechanistic,,test,64,0,64,1.9796401041082864e-11,1.678111076853175e-11,2.320032159827079e-11,4.449314670944601e-06,0.0,,
development,32,ks,coefficient,mechanistic,,test,64,0,64,0.5864891998136557,0.4984727991871942,0.6750782908334088,0.7658258286409878,0.0,,
development,32,ks,correct,mechanistic,,test,64,0,64,2.4466611887692054e-07,9.155835454130354e-08,5.087319435671822e-07,0.0004946373609796581,0.0,,
resolution_g64,64,advection_diffusion,coefficient,mechanistic,,test,64,0,64,0.6843451949922859,0.5536766532615343,0.830032044992354,0.8272515911089479,0.0,,
resolution_g64,64,advection_diffusion,correct,mechanistic,,test,64,0,64,2.9301991684989413e-12,2.0791952759899267e-12,3.91641114234012e-12,1.711782453613467e-06,0.0,,
resolution_g64,64,allen_cahn,coefficient,mechanistic,,test,64,0,64,0.005892335089258793,0.0034991490176598194,0.010164626373259364,0.07676154694414902,0.0,,
resolution_g64,64,allen_cahn,correct,mechanistic,,test,64,0,64,1.7511839457505798e-12,1.5450672416779045e-12,1.9754699079157733e-12,1.3233230693034032e-06,0.0,,
resolution_g64,64,wave,coefficient,mechanistic,,test,64,0,64,0.4135507871999593,0.36878896557586993,0.4615024080586,0.6430791453623413,0.0,,
resolution_g64,64,wave,correct,mechanistic,,test,64,0,64,4.457002186911351e-12,3.825462790917661e-12,5.149146391790135e-12,2.1111613360686937e-06,0.0,,
selector_g64,64,cahn_hilliard,coefficient,mechanistic,,test,64,0,64,0.11407906138970425,0.09267244150149821,0.13740451436904288,0.3377559198440558,0.0,,
selector_g64,64,cahn_hilliard,correct,mechanistic,,test,64,0,64,3.0924970280116437e-12,2.4405912511168854e-12,3.785933256525694e-12,1.7585496944959059e-06,0.0,,
selector_g64,64,cahn_hilliard,structural,mechanistic,,test,64,0,64,0.2673796713480453,0.16461764179085972,0.40585313984807936,0.5170876824563173,0.0,,
selector_g64,64,fitzhugh_nagumo,coefficient,mechanistic,,test,64,0,64,0.03141501721936013,0.026632456643883473,0.03668811935407516,0.17724281993739585,0.0,,
selector_g64,64,fitzhugh_nagumo,correct,mechanistic,,test,64,0,64,3.6728313592948177e-11,3.3149418401340986e-11,4.05657937657558e-11,6.060388897830582e-06,0.0,,
selector_g64,64,fitzhugh_nagumo,structural,mechanistic,,test,64,0,64,1.6198745177830176,1.5061958530918858,1.7398647555789322,1.2727429111108879,0.0,,
