stage,grid,family,prior,split,horizon,candidate_kind,candidate_arm,baseline_kind,baseline_arm,candidate_mean_nmse,baseline_mean_nmse,difference_nmse,difference_ci95_low,difference_ci95_high,ratio_of_arithmetic_means,ratio_ci95_low,ratio_ci95_high,interpretation,scope
development,32,advection_diffusion,coefficient,ood,64,fno,smooth,transformer,smooth,0.037418212140607005,1.1733013756955895,-1.1358831635549824,-1.5288927922467381,-0.8088773487749435,0.03189139032452228,0.013149785076580253,0.059086789116428486,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,64,fno,smooth,fno,none,0.037418212140607005,0.04972419711119871,-0.012305984970591703,-0.043546324707365386,0.012463237753832665,0.7525151599115475,0.33990783811370057,1.3545728316359051,interval_includes_zero,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,96,fno,smooth,mechanistic,,0.05680942181426413,0.7019240169255561,-0.645114595111292,-0.7843982917625855,-0.5192479197592651,0.08093386241874263,0.04066893121557611,0.1259035656472234,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,96,fno,smooth,transformer,smooth,0.05680942181426413,1.4754495721238594,-1.4186401503095953,-2.0659342279283175,-0.8892284997853654,0.03850312669953802,0.014531308375144289,0.07985063541942736,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,96,fno,smooth,fno,none,0.05680942181426413,0.07315159807895903,-0.016342176264694905,-0.060580205392375165,0.018868104867498004,0.7765985064734288,0.35507261242111854,1.349281966974554,interval_includes_zero,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,64,fno,smooth,mechanistic,,0.0026457905739177487,0.5313244237183632,-0.5286786331444454,-0.6329339494072539,-0.42808970825290676,0.004979614065925551,0.004017634675723594,0.006144759503786557,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,64,fno,smooth,transformer,smooth,0.0026457905739177487,0.005886501893033784,-0.003240711319116035,-0.004692071786053677,-0.0020046414734964904,0.4494673784185537,0.34334033034968653,0.5801576419552837,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,64,fno,smooth,fno,none,0.0026457905739177487,0.0003369979012111661,0.0023087926727065828,0.0016969521114482042,0.003073361162660184,7.8510595003969215,5.727001877037441,11.13508069683317,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,96,fno,smooth,mechanistic,,0.004040881321821715,0.7447897696842862,-0.7407488883624646,-0.8809392383529004,-0.6055973550698056,0.005425532796368336,0.004408556708716873,0.006609411505084951,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,96,fno,smooth,transformer,smooth,0.004040881321821715,0.008226187886307714,-0.004185306564485999,-0.006690947949992119,-0.0020434563865648226,0.49122161779791845,0.37679934523445324,0.6557148451448297,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,96,fno,smooth,fno,none,0.004040881321821715,0.0004868690648330344,0.0035540122569886804,0.0026361927354154155,0.004647339109304911,8.299729051808793,5.924063458929689,12.374297243498425,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,64,looped,iid,mechanistic,,12.174830416810712,0.5686829936930753,11.606147423117637,1.2867937441987656,27.394662912865353,21.408817481504656,3.1973283725191406,51.55254932900684,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,64,looped,iid,transformer,iid,12.174830416810712,1.1793981179517015,10.995432298859011,0.6152505030420465,26.584500484925925,10.32291830171404,1.5150917942633018,20.952984688717468,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,96,looped,iid,mechanistic,,32.010143730208995,0.7019240169255561,31.30821971328344,2.0401389346480605,75.16238235343813,45.60343136628119,3.862595574775352,112.24742016053104,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,96,looped,iid,transformer,iid,32.010143730208995,1.5023045689203733,30.507839161288622,1.2341954549846508,73.98946807648903,21.30735963428041,1.7614212011673083,45.03273786067229,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,64,looped,iid,mechanistic,,0.022516218616878508,0.5313244237183632,-0.5088082051014847,-0.6128905060861184,-0.41021173526907706,0.04237753359671187,0.013498350156680395,0.09886613656374268,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,64,looped,iid,transformer,iid,0.022516218616878508,0.004330061106250153,0.018186157510628354,0.002796816089458414,0.04965872671518253,5.199977105260213,1.6125685497816755,12.806558879286836,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
