family,kind,prior,seed,split,policy,selected_arm,estimated_training_seconds,selected_inference_ms_per_step
advection_diffusion,transformer,coefficient,202,development_lofo,random,smooth,75.26931402180344,1.5348280780017376
advection_diffusion,transformer,coefficient,202,development_lofo,ridge_selector,none,60.30910978093743,1.5319730620831251
advection_diffusion,transformer,coefficient,202,development_lofo,full_validation,none,263.1675631213002,1.5319730620831251
advection_diffusion,transformer,coefficient,303,development_lofo,always_smooth,smooth,76.33499291911721,1.5338325407356024
advection_diffusion,transformer,coefficient,303,development_lofo,best_fixed,smooth,76.33499291911721,1.5338325407356024
advection_diffusion,transformer,coefficient,303,development_lofo,hand_rule,none,43.68852079054341,1.532555604353547
advection_diffusion,transformer,coefficient,303,development_lofo,none,none,42.35893451748416,1.532555604353547
advection_diffusion,transformer,coefficient,303,development_lofo,probe_best,response_matched,88.53971604537219,1.5369106084108353
advection_diffusion,transformer,coefficient,303,development_lofo,random,response_matched,74.48253634758294,1.5369106084108353
advection_diffusion,transformer,coefficient,303,development_lofo,ridge_selector,none,60.26991006778553,1.532555604353547
advection_diffusion,transformer,coefficient,303,development_lofo,full_validation,none,265.0774547480978,1.532555604353547
advection_diffusion,transformer,coefficient,404,development_lofo,always_smooth,smooth,75.67467351770028,1.5348016051575541
advection_diffusion,transformer,coefficient,404,development_lofo,best_fixed,smooth,75.67467351770028,1.5348016051575541
advection_diffusion,transformer,coefficient,404,development_lofo,hand_rule,none,44.586267633363605,1.537341601215303
advection_diffusion,transformer,coefficient,404,development_lofo,none,none,43.2636850704439,1.537341601215303
advection_diffusion,transformer,coefficient,404,development_lofo,probe_best,response_matched,89.11988951731473,1.5354530652984977
advection_diffusion,transformer,coefficient,404,development_lofo,random,smooth,75.67467351770028,1.5348016051575541
advection_diffusion,transformer,coefficient,404,development_lofo,ridge_selector,none,60.49209592677653,1.537341601215303
advection_diffusion,transformer,coefficient,404,development_lofo,full_validation,none,265.643804914318,1.537341601215303
advection_diffusion,transformer,coefficient,505,development_lofo,always_smooth,smooth,74.79493984160945,1.5365565894171596
advection_diffusion,transformer,coefficient,505,development_lofo,best_fixed,smooth,74.79493984160945,1.5365565894171596
advection_diffusion,transformer,coefficient,505,development_lofo,hand_rule,none,43.5729869636707,1.533847558312118
advection_diffusion,transformer,coefficient,505,development_lofo,none,none,42.245118658058345,1.533847558312118
advection_diffusion,transformer,coefficient,505,development_lofo,probe_best,response_matched,90.00268490612507,1.5378570416942239
