family,kind,prior,seed,policy,arm,checkpoint,split,horizon,mean_capped_mse,diverged_trajectories,trajectories,regret_log_ratio_to_test_oracle
advection_diffusion,looped,coefficient,303,ridge_selector,none,validation_best,ood,64,1.1674834778054333,0,64,
advection_diffusion,looped,coefficient,303,full_validation,none,validation_best,test,64,0.0030713534476689563,0,64,0.0
advection_diffusion,looped,coefficient,303,full_validation,none,validation_best,ood,64,1.1674834778054333,0,64,
advection_diffusion,looped,coefficient,404,always_smooth,smooth,validation_best,test,64,0.012177955324177425,0,64,0.6332162019343421
advection_diffusion,looped,coefficient,404,always_smooth,smooth,validation_best,ood,64,1.8670886194464629,0,64,
advection_diffusion,looped,coefficient,404,best_fixed,smooth,validation_best,test,64,0.012177955324177425,0,64,0.6332162019343421
advection_diffusion,looped,coefficient,404,best_fixed,smooth,validation_best,ood,64,1.8670886194464629,0,64,
advection_diffusion,looped,coefficient,404,hand_rule,none,validation_best,test,64,0.006465052770475932,0,64,0.0
advection_diffusion,looped,coefficient,404,hand_rule,none,validation_best,ood,64,1.2324175504647314,0,64,
advection_diffusion,looped,coefficient,404,none,none,validation_best,test,64,0.006465052770475932,0,64,0.0
advection_diffusion,looped,coefficient,404,none,none,validation_best,ood,64,1.2324175504647314,0,64,
advection_diffusion,looped,coefficient,404,probe_best,response_matched,validation_best,test,64,0.01041314757742029,0,64,0.47665802319119477
advection_diffusion,looped,coefficient,404,probe_best,response_matched,validation_best,ood,64,2.509986100018466,0,64,
advection_diffusion,looped,coefficient,404,random,none,validation_best,test,64,0.006465052770475932,0,64,0.0
advection_diffusion,looped,coefficient,404,random,none,validation_best,ood,64,1.2324175504647314,0,64,
advection_diffusion,looped,coefficient,404,ridge_selector,none,validation_best,test,64,0.006465052770475932,0,64,0.0
advection_diffusion,looped,coefficient,404,ridge_selector,none,validation_best,ood,64,1.2324175504647314,0,64,
advection_diffusion,looped,coefficient,404,full_validation,iid,validation_best,test,64,0.009557579399708693,0,64,0.3909233194580991
advection_diffusion,looped,coefficient,404,full_validation,iid,validation_best,ood,64,1.9978929653235014,0,64,
advection_diffusion,looped,coefficient,505,always_smooth,smooth,validation_best,test,64,2.6961377094706136,0,64,3.432422609109719
advection_diffusion,looped,coefficient,505,always_smooth,smooth,validation_best,ood,64,94.01555472976781,0,64,
advection_diffusion,looped,coefficient,505,best_fixed,smooth,validation_best,test,64,2.6961377094706136,0,64,3.432422609109719
advection_diffusion,looped,coefficient,505,best_fixed,smooth,validation_best,ood,64,94.01555472976781,0,64,
advection_diffusion,looped,coefficient,505,hand_rule,none,validation_best,test,64,0.7528477927849286,0,64,2.1567101321537385
advection_diffusion,looped,coefficient,505,hand_rule,none,validation_best,ood,64,72.85975414970886,0,64,
advection_diffusion,looped,coefficient,505,none,none,validation_best,test,64,0.7528477927849286,0,64,2.1567101321537385
