family,kind,prior,seed,arm,checkpoint,split,horizon,mean_capped_mse,diverged_trajectories,capped_trajectories,trajectories,parameter_count,inference_ms_per_step
advection_diffusion,fno,coefficient,505,none,validation_best,test,96,0.00043682362496829297,0,0,64,209985,1.2418200494721532
advection_diffusion,fno,coefficient,505,none,final_step,test,64,0.0006337441783805884,0,0,64,209985,
advection_diffusion,fno,coefficient,505,none,final_step,test,96,0.0010371207171133768,0,0,64,209985,
advection_diffusion,fno,coefficient,505,none,validation_best,ood,64,0.026100815694939494,0,0,64,209985,1.2418200494721532
advection_diffusion,fno,coefficient,505,none,validation_best,ood,96,0.036739134932887454,0,0,64,209985,1.2418200494721532
advection_diffusion,fno,coefficient,505,none,final_step,ood,64,0.027397044478836174,0,0,64,209985,
advection_diffusion,fno,coefficient,505,none,final_step,ood,96,0.03889415434559192,0,0,64,209985,
advection_diffusion,fno,coefficient,505,response_matched,validation_best,test,64,0.004488446060976536,0,0,64,209985,1.230087480507791
advection_diffusion,fno,coefficient,505,response_matched,validation_best,test,96,0.00636358575801288,0,0,64,209985,1.230087480507791
advection_diffusion,fno,coefficient,505,response_matched,final_step,test,64,0.3744378241235445,0,0,64,209985,
advection_diffusion,fno,coefficient,505,response_matched,final_step,test,96,0.6316347793945061,0,0,64,209985,
advection_diffusion,fno,coefficient,505,response_matched,validation_best,ood,64,0.024154039509340253,0,0,64,209985,1.230087480507791
advection_diffusion,fno,coefficient,505,response_matched,validation_best,ood,96,0.03241945888882425,0,0,64,209985,1.230087480507791
advection_diffusion,fno,coefficient,505,response_matched,final_step,ood,64,158743.31787146768,0,8,64,209985,
advection_diffusion,fno,coefficient,505,response_matched,final_step,ood,96,541940.3758619176,29,34,64,209985,
advection_diffusion,fno,coefficient,505,smooth,validation_best,test,64,0.0026389416839400354,0,0,64,209985,1.2880294350907207
advection_diffusion,fno,coefficient,505,smooth,validation_best,test,96,0.00377734142903279,0,0,64,209985,1.2880294350907207
advection_diffusion,fno,coefficient,505,smooth,final_step,test,64,0.01160410374653481,0,0,64,209985,
advection_diffusion,fno,coefficient,505,smooth,final_step,test,96,0.01859084810994205,0,0,64,209985,
advection_diffusion,fno,coefficient,505,smooth,validation_best,ood,64,0.01861019994474683,0,0,64,209985,1.2880294350907207
advection_diffusion,fno,coefficient,505,smooth,validation_best,ood,96,0.02739878612139124,0,0,64,209985,1.2880294350907207
advection_diffusion,fno,coefficient,505,smooth,final_step,ood,64,0.05663310496768026,0,0,64,209985,
advection_diffusion,fno,coefficient,505,smooth,final_step,ood,96,0.08711427468183772,0,0,64,209985,
advection_diffusion,fno,coefficient,606,iid,validation_best,test,64,0.016103377007226444,0,0,64,209985,1.3124844525009394
advection_diffusion,fno,coefficient,606,iid,validation_best,test,96,0.029177985264600005,0,0,64,209985,1.3124844525009394
advection_diffusion,fno,coefficient,606,iid,final_step,test,64,0.031196365920947558,0,0,64,209985,
advection_diffusion,fno,coefficient,606,iid,final_step,test,96,0.05703340513884289,0,0,64,209985,
advection_diffusion,fno,coefficient,606,iid,validation_best,ood,64,0.1579569402640284,0,0,64,209985,1.3124844525009394
advection_diffusion,fno,coefficient,606,iid,validation_best,ood,96,0.28550893132791055,0,0,64,209985,1.3124844525009394
advection_diffusion,fno,coefficient,606,iid,final_step,ood,64,0.10368015658139129,0,0,64,209985,
advection_diffusion,fno,coefficient,606,iid,final_step,ood,96,0.1903230952705814,0,0,64,209985,
advection_diffusion,fno,coefficient,606,none,validation_best,test,64,0.0003140280913474097,0,0,64,209985,1.2356189545243979
advection_diffusion,fno,coefficient,606,none,validation_best,test,96,0.00037582407761757586,0,0,64,209985,1.2356189545243979
advection_diffusion,fno,coefficient,606,none,final_step,test,64,0.0028515714438705347,0,0,64,209985,
advection_diffusion,fno,coefficient,606,none,final_step,test,96,0.004783941018497209,0,0,64,209985,
advection_diffusion,fno,coefficient,606,none,validation_best,ood,64,0.048390405516788304,0,0,64,209985,1.2356189545243979
advection_diffusion,fno,coefficient,606,none,validation_best,ood,96,0.07960593510567356,0,0,64,209985,1.2356189545243979
advection_diffusion,fno,coefficient,606,none,final_step,ood,64,0.0670950725966315,0,0,64,209985,
advection_diffusion,fno,coefficient,606,none,final_step,ood,96,0.11667288263498823,0,0,64,209985,
advection_diffusion,fno,coefficient,606,response_matched,validation_best,test,64,0.001523865489118828,0,0,64,209985,1.2641784502193332
advection_diffusion,fno,coefficient,606,response_matched,validation_best,test,96,0.002929151604348044,0,0,64,209985,1.2641784502193332
advection_diffusion,fno,coefficient,606,response_matched,final_step,test,64,0.05713876929428105,0,0,64,209985,
advection_diffusion,fno,coefficient,606,response_matched,final_step,test,96,0.11147988733690137,0,0,64,209985,
advection_diffusion,fno,coefficient,606,response_matched,validation_best,ood,64,0.03076035702883395,0,0,64,209985,1.2641784502193332
