job_id,stage,family,prior,grid,split,horizon,n_trajectories,primary_horizon,method,failed_trajectories,cap_affected_trajectories,nonfinite_steps,raw_mean_nmse
resolution_g32__allen_cahn__correct,resolution_g32,allen_cahn,correct,32,test,96,64,False,persistence,0,0,0,0.04256250602127546
resolution_g32__allen_cahn__correct,resolution_g32,allen_cahn,correct,32,ood,64,64,True,calibrated,0,0,0,1.7267652297606192e-11
resolution_g32__allen_cahn__correct,resolution_g32,allen_cahn,correct,32,ood,64,64,True,uncalibrated,0,0,0,1.5668254520399017e-11
resolution_g32__allen_cahn__correct,resolution_g32,allen_cahn,correct,32,ood,64,64,True,persistence,0,0,0,0.022562869018956655
resolution_g32__allen_cahn__correct,resolution_g32,allen_cahn,correct,32,ood,96,64,False,calibrated,0,0,0,1.8296595958939514e-11
resolution_g32__allen_cahn__correct,resolution_g32,allen_cahn,correct,32,ood,96,64,False,uncalibrated,0,0,0,1.4725674375075812e-11
resolution_g32__allen_cahn__correct,resolution_g32,allen_cahn,correct,32,ood,96,64,False,persistence,0,0,0,0.028976578512636797
resolution_g32__wave__coefficient,resolution_g32,wave,coefficient,32,test,64,64,True,calibrated,0,0,0,6.169543753974572e-11
resolution_g32__wave__coefficient,resolution_g32,wave,coefficient,32,test,64,64,True,uncalibrated,0,0,0,0.41355172672824736
resolution_g32__wave__coefficient,resolution_g32,wave,coefficient,32,test,64,64,True,persistence,0,0,0,1.8038918814695535
resolution_g32__wave__coefficient,resolution_g32,wave,coefficient,32,test,96,64,False,calibrated,0,0,0,1.221013840420381e-10
resolution_g32__wave__coefficient,resolution_g32,wave,coefficient,32,test,96,64,False,uncalibrated,0,0,0,0.6024088925045064
resolution_g32__wave__coefficient,resolution_g32,wave,coefficient,32,test,96,64,False,persistence,0,0,0,1.8723386259798647
resolution_g32__wave__coefficient,resolution_g32,wave,coefficient,32,ood,64,64,True,calibrated,0,0,0,2.2070312619309375e-09
resolution_g32__wave__coefficient,resolution_g32,wave,coefficient,32,ood,64,64,True,uncalibrated,0,0,0,0.6947557939500939
resolution_g32__wave__coefficient,resolution_g32,wave,coefficient,32,ood,64,64,True,persistence,0,0,0,1.8752147398470242
resolution_g32__wave__coefficient,resolution_g32,wave,coefficient,32,ood,96,64,False,calibrated,0,0,0,4.062966562998763e-09
resolution_g32__wave__coefficient,resolution_g32,wave,coefficient,32,ood,96,64,False,uncalibrated,0,0,0,0.8587808394664382
resolution_g32__wave__coefficient,resolution_g32,wave,coefficient,32,ood,96,64,False,persistence,0,0,0,1.6234940538226206
resolution_g32__wave__correct,resolution_g32,wave,correct,32,test,64,64,True,calibrated,0,0,0,6.26352546068619e-11
resolution_g32__wave__correct,resolution_g32,wave,correct,32,test,64,64,True,uncalibrated,0,0,0,1.1694559534182765e-10
resolution_g32__wave__correct,resolution_g32,wave,correct,32,test,64,64,True,persistence,0,0,0,1.8038918814695535
resolution_g32__wave__correct,resolution_g32,wave,correct,32,test,96,64,False,calibrated,0,0,0,1.2391431369737968e-10
resolution_g32__wave__correct,resolution_g32,wave,correct,32,test,96,64,False,uncalibrated,0,0,0,2.335573055247989e-10
resolution_g32__wave__correct,resolution_g32,wave,correct,32,test,96,64,False,persistence,0,0,0,1.8723386259798647
resolution_g32__wave__correct,resolution_g32,wave,correct,32,ood,64,64,True,calibrated,0,0,0,2.2134035276007565e-09
resolution_g32__wave__correct,resolution_g32,wave,correct,32,ood,64,64,True,uncalibrated,0,0,0,2.782841436335111e-09
resolution_g32__wave__correct,resolution_g32,wave,correct,32,ood,64,64,True,persistence,0,0,0,1.8752147398470242
resolution_g32__wave__correct,resolution_g32,wave,correct,32,ood,96,64,False,calibrated,0,0,0,4.074629167216482e-09
resolution_g32__wave__correct,resolution_g32,wave,correct,32,ood,96,64,False,uncalibrated,0,0,0,5.10879281210595e-09
resolution_g32__wave__correct,resolution_g32,wave,correct,32,ood,96,64,False,persistence,0,0,0,1.6234940538226206
resolution_g64__advection_diffusion__coefficient,resolution_g64,advection_diffusion,coefficient,64,test,64,64,True,calibrated,0,0,0,2.4621148923034074e-12
resolution_g64__advection_diffusion__coefficient,resolution_g64,advection_diffusion,coefficient,64,test,64,64,True,uncalibrated,0,0,0,0.6843452418565761
resolution_g64__advection_diffusion__coefficient,resolution_g64,advection_diffusion,coefficient,64,test,64,64,True,persistence,0,0,0,2.284433657354896
resolution_g64__advection_diffusion__coefficient,resolution_g64,advection_diffusion,coefficient,64,test,96,64,False,calibrated,0,0,0,4.272548172852631e-12
resolution_g64__advection_diffusion__coefficient,resolution_g64,advection_diffusion,coefficient,64,test,96,64,False,uncalibrated,0,0,0,0.9744071112448391
resolution_g64__advection_diffusion__coefficient,resolution_g64,advection_diffusion,coefficient,64,test,96,64,False,persistence,0,0,0,2.283803768966853
resolution_g64__advection_diffusion__coefficient,resolution_g64,advection_diffusion,coefficient,64,ood,64,64,True,calibrated,0,0,0,1.3944224512169182e-12
resolution_g64__advection_diffusion__coefficient,resolution_g64,advection_diffusion,coefficient,64,ood,64,64,True,uncalibrated,0,0,0,0.586601269237633
resolution_g64__advection_diffusion__coefficient,resolution_g64,advection_diffusion,coefficient,64,ood,64,64,True,persistence,0,0,0,1.3504375144481742
resolution_g64__advection_diffusion__coefficient,resolution_g64,advection_diffusion,coefficient,64,ood,96,64,False,calibrated,0,0,0,2.0734768123046286e-12
resolution_g64__advection_diffusion__coefficient,resolution_g64,advection_diffusion,coefficient,64,ood,96,64,False,uncalibrated,0,0,0,0.6803638660506219
resolution_g64__advection_diffusion__coefficient,resolution_g64,advection_diffusion,coefficient,64,ood,96,64,False,persistence,0,0,0,1.3387318533412251
resolution_g64__advection_diffusion__correct,resolution_g64,advection_diffusion,correct,64,test,64,64,True,calibrated,0,0,0,2.3795059667397735e-12
resolution_g64__advection_diffusion__correct,resolution_g64,advection_diffusion,correct,64,test,64,64,True,uncalibrated,0,0,0,2.3719585895269115e-12
